Foreground,Background_1,Background_2,Background_3,Background_4
dog+dog_bark,church_bells,hen,rain,chirping_birds
rooster,hen,church_bells,chirping_birds,engine+engine_idling
pig,church_bells,engine+engine_idling,rain,siren
cow,crickets,engine+engine_idling,rain,car_horn
crow,airplane,footsteps,thunderstorm,rain
brushing_teeth,toilet_flush,water_drops,drinking_sipping,thunderstorm
sneezing,pouring_water,vacuum_cleaner,footsteps,thunderstorm
clapping,fireworks,church_bells,car_horn,airplane
snoring,clock_alarm,clock_tick,door_wood_knock+knock,vacuum_cleaner
coughing+cough,wind,vacuum_cleaner,thunderstorm,water_drops
frog,crickets,insects,thunderstorm,water_drops
cat,crying_baby,rain,hen,vacuum_cleaner
sea_waves,siren,car_horn,airplane,thunderstorm
crackling_fire,wind,door_wood_knock+knock,rain,thunderstorm
breathing,hand_saw,rain,thunderstorm,chirping_birds
mouse_click,keyboard_typing+keyboard,door_wood_knock+knock,drinking_sipping,clock_tick
door_wood_creaks,footsteps,door_wood_knock+knock,rain,wind
can_opening,drinking_sipping,glass_breaking,pouring_water,keyboard_typing+keyboard
washing_machine,toilet_flush,car_horn,siren,clock_alarm
helicopter,rain,thunderstorm,airplane,clock_alarm
chainsaw,footsteps,wind,crying_baby,rain
speech,rain,car_horn,Alarm_Bell_Ringing,street_music
gun_shot,siren,Alarm_Bell_Ringing,wind,rain
drilling,car_horn,street_music,siren,rain
jackhammer,siren,rain,glass_breaking,clock_alarm
children_playing,street_music,rain,glass_breaking,water_drops
air_conditioner,rain,thunderstorm,drinking_sipping,water_drops
throatclearing+clearthroat,door_wood_knock+knock,toilet_flush,glass_breaking,water_drops
doorslam,door_wood_knock+knock,footsteps,Alarm_Bell_Ringing,rain
keysDrop,drinking_sipping,keyboard_typing+keyboard,mouse_click,door_wood_knock+knock
pageturn,thunderstorm,rain,can_opening,street_music
phone,door_wood_knock+knock,crying_baby,insects,hand_saw
Drawer,keyboard_typing+keyboard,mouse_click,door_wood_knock+knock,footsteps
Running_water,toilet_flush,drinking_sipping,frying,crying_baby
Electric_shaver_toothbrush,toilet_flush,drinking_sipping,pouring_water,footsteps
Blender,frying,can_opening,pouring_water,Alarm_Bell_Ringing
laughter,car_horn,drinking_sipping,mouse_click,keyboard_typing+keyboard
sigh,crying_baby,toilet_flush,clock_alarm,glass_breaking
sniff,street_music,frying,thunderstorm,can_opening
