Foreground,Background_1,Background_2,Background_3,Background_4
dog+dog_bark,door_wood_knock+knock,glass_breaking,sheep,hen
rooster,hen,church_bells,chirping_birds,engine+engine_idling
pig,church_bells,hen,rain,chirping_birds
cow,crickets,engine+engine_idling,rain,car_horn
crow,car_horn,siren,train,sheep
brushing_teeth,toilet_flush,water_drops,drinking_sipping,thunderstorm
sneezing,crying_baby,keyboard_typing+keyboard,wind,engine+engine_idling
clapping,fireworks,church_bells,car_horn,airplane
snoring,clock_alarm,clock_tick,door_wood_knock+knock,vacuum_cleaner
coughing+cough,drinking_sipping,pouring_water,footsteps,toilet_flush
frog,crickets,insects,thunderstorm,water_drops
cat,crying_baby,rain,hen,vacuum_cleaner
sea_waves,siren,car_horn,airplane,thunderstorm
crackling_fire,crickets,hand_saw,rain,thunderstorm
breathing,hand_saw,rain,thunderstorm,chirping_birds
mouse_click,keyboard_typing+keyboard,door_wood_knock+knock,drinking_sipping,clock_tick
door_wood_creaks,footsteps,door_wood_knock+knock,rain,wind
can_opening,drinking_sipping,glass_breaking,pouring_water,keyboard_typing+keyboard
washing_machine,toilet_flush,car_horn,siren,clock_alarm
helicopter,rain,thunderstorm,airplane,siren
chainsaw,siren,car_horn,church_bells,sheep
speech,rain,car_horn,Alarb/Bell/Ringing,street_music
gun_shot,siren,Alarb/Bell/Ringing,wind,rain
drilling,car_horn,street_music,siren,rain
jackhammer,door_wood_knock+knock,rain,glass_breaking,clock_alarm
children_playing,street_music,rain,glass_breaking,water_drops
air_conditioner,rain,thunderstorm,drinking_sipping,water_drops
throatclearing+clearthroat,door_wood_knock+knock,toilet_flush,glass_breaking,water_drops
Door slam,door_wood_knock+knock,footsteps,Alarb/Bell/Ringing,rain
Keys (put on table),drinking_sipping,keyboard_typing+keyboard,mouse_click,door_wood_knock+knock
Page turning,thunderstorm,rain,can_opening,street_music
Phone ringing,Dishes,frying,footsteps,rain
Drawer,keyboard_typing+keyboard,mouse_click,door_wood_knock+knock,footsteps
Running_water,toilet_flush,drinking_sipping,frying,crying_baby
Electric shaver/toothbrush,toilet_flush,drinking_sipping,pouring_water,footsteps
Blender,street_music,car_horn,crying_baby,frying
laughter,street_music,drinking_sipping,mouse_click,keyboard_typing+keyboard
sigh,crying_baby,toilet_flush,clock_alarm,glass_breaking
sniff,street_music,frying,thunderstorm,can_opening
